,path,label_,label
3110,/data/mskim/2_55_experiment/datasets/custum/현대#그랜저_HG(2013)/C-220714_18_CR15_02_A1504.jpg,현대#그랜저_HG(2013),307
3327,/data/mskim/2_55_experiment/datasets/custum/현대#그랜저_IG(더 뉴)(2016)/C-220714_06_CR13_01_A0029.jpg,현대#그랜저_IG(더 뉴)(2016),309
2191,/data/mskim/2_55_experiment/datasets/custum/벤츠#E-클래스_W213(2016)/C-220715_09_CR14_03_A007749.jpg,벤츠#E-클래스_W213(2016),163
3887,/data/mskim/2_55_experiment/datasets/custum/현대#쏘나타_DN8(2019)/C-220711_12_CR13_01_A0047.jpg,현대#쏘나타_DN8(2019),331
2501,/data/mskim/2_55_experiment/datasets/custum/쉐보레#스파크_스파크(2011)/C-220713_08_CR14_03_A2047.jpg,쉐보레#스파크_스파크(2011),198
2820,/data/mskim/2_55_experiment/datasets/custum/아우디#A6_뉴(2004)/C-220716_15_CR14_03_A000336.jpg,아우디#A6_뉴(2004),249
4725,/data/mskim/2_55_experiment/datasets/custum/현대#제네시스_제네시스(2008)/C-220716_12_CR14_03_A000529.jpg,현대#제네시스_제네시스(2008),361
3811,/data/mskim/2_55_experiment/datasets/custum/현대#싼타페_TM(2018)/C-220715_13_CR14_03_A000378.jpg,현대#싼타페_TM(2018),327
1531,/data/mskim/2_55_experiment/datasets/custum/도요타#RAV4_뉴(2019)/C-220714_17_CR15_02_A0694.jpg,도요타#RAV4_뉴(2019),103
1383,/data/mskim/2_55_experiment/datasets/custum/기아#카니발_R(2010)/C-220714_07_CR13_01_A0042.jpg,기아#카니발_R(2010),87
2817,/data/mskim/2_55_experiment/datasets/custum/아우디#A6_뉴(2004)/C-220713_19_CR14_03_A0188.jpg,아우디#A6_뉴(2004),249
1631,/data/mskim/2_55_experiment/datasets/custum/랜드로버#레인지로버_이보크(2011)/C-220716_12_CR15_02_A000846.jpg,랜드로버#레인지로버_이보크(2011),118
3978,/data/mskim/2_55_experiment/datasets/custum/현대#쏘나타_NF(2004)/C-220716_18_CR15_02_A001044.jpg,현대#쏘나타_NF(2004),333
4339,/data/mskim/2_55_experiment/datasets/custum/현대#아반테_MD(2010)/C-220712_18_CR13_01_A0059.jpg,현대#아반테_MD(2010),340
1836,/data/mskim/2_55_experiment/datasets/custum/르노삼성#SM5_뉴(2005)/C-220716_18_CR13_01_A000822.jpg,르노삼성#SM5_뉴(2005),139
1683,/data/mskim/2_55_experiment/datasets/custum/렉서스#LS_LS(1989)/C-220712_18_CR13_01_A0760.jpg,렉서스#LS_LS(1989),122
1298,/data/mskim/2_55_experiment/datasets/custum/기아#쏘울_쏘울(2008)/C-220715_12_CR13_01_A000701.jpg,기아#쏘울_쏘울(2008),84
492,/data/mskim/2_55_experiment/datasets/custum/기아#K5_K5(2010)/C-220717_08_CR13_01_A0129.jpg,기아#K5_K5(2010),38
3206,/data/mskim/2_55_experiment/datasets/custum/현대#그랜저_IG(2016)/C-220714_08_CR14_03_A0620.jpg,현대#그랜저_IG(2016),308
4874,/data/mskim/2_55_experiment/datasets/custum/현대#투싼_올 뉴(2015)/C-220712_16_CR13_01_A0161.jpg,현대#투싼_올 뉴(2015),370
1475,/data/mskim/2_55_experiment/datasets/custum/기아#카니발_올 뉴(2014)/C-220714_14_CR15_02_A1641.jpg,기아#카니발_올 뉴(2014),89
3754,/data/mskim/2_55_experiment/datasets/custum/현대#싼타페_DM(2012)/C-220714_08_CR14_03_A0568.jpg,현대#싼타페_DM(2012),326
4029,/data/mskim/2_55_experiment/datasets/custum/현대#쏘나타_YF(2009)/C-220716_20_CR13_01_A000250.jpg,현대#쏘나타_YF(2009),334
3316,/data/mskim/2_55_experiment/datasets/custum/현대#그랜저_IG(더 뉴)(2016)/C-220712_18_CR13_01_A0683.jpg,현대#그랜저_IG(더 뉴)(2016),309
4652,/data/mskim/2_55_experiment/datasets/custum/현대#제네시스_GV70(2021)/C-220712_15_CR13_01_A0560.jpg,현대#제네시스_GV70(2021),358
972,/data/mskim/2_55_experiment/datasets/custum/기아#봉고 3/C-220714_06_CR13_01_A0446.jpg,기아#봉고 3,64
5158,/data/mskim/2_55_experiment/datasets/custum/혼다#어코드_올 뉴(2008)/C-220715_10_CR15_02_A000699.jpg,혼다#어코드_올 뉴(2008),379
235,/data/mskim/2_55_experiment/datasets/custum/BMW#X시리즈_X5 (F15)(2013)/C-220713_13_CR13_01_A0056.jpg,BMW#X시리즈_X5 (F15)(2013),22
1921,/data/mskim/2_55_experiment/datasets/custum/르노삼성#SM7_SM7 노바(2014)/C-220717_09_CR15_02_A0901.jpg,르노삼성#SM7_SM7 노바(2014),142
2977,/data/mskim/2_55_experiment/datasets/custum/폭스바겐#골프_5세대(2004)/C-220712_18_CR13_01_A0155.jpg,폭스바겐#골프_5세대(2004),286
4648,/data/mskim/2_55_experiment/datasets/custum/현대#제네시스_GV70(2021)/C-220717_16_CR15_02_A0390.jpg,현대#제네시스_GV70(2021),358
4220,/data/mskim/2_55_experiment/datasets/custum/현대#아반테_CN7(2020)/C-220712_18_CR13_01_A0871.jpg,현대#아반테_CN7(2020),338
4222,/data/mskim/2_55_experiment/datasets/custum/현대#아반테_CN7(2020)/C-220714_15_CR15_02_A0580.jpg,현대#아반테_CN7(2020),338
4671,/data/mskim/2_55_experiment/datasets/custum/현대#제네시스_GV80(2020)/C-220715_19_CR15_02_A008571.jpg,현대#제네시스_GV80(2020),359
2926,/data/mskim/2_55_experiment/datasets/custum/테슬라#모델 X_모델 X(2018)/C-220716_12_CR14_03_A000897.jpg,테슬라#모델 X_모델 X(2018),274
2068,/data/mskim/2_55_experiment/datasets/custum/벤츠#C-클래스_W205(2014)/C-220716_12_CR13_01_A000434.jpg,벤츠#C-클래스_W205(2014),156
1078,/data/mskim/2_55_experiment/datasets/custum/기아#스포티지_5세대(2021)/C-220717_09_CR15_02_A1043.jpg,기아#스포티지_5세대(2021),70
1954,/data/mskim/2_55_experiment/datasets/custum/마을버스#Unknown/C-220716_14_CR14_03_A000117.jpg,마을버스#Unknown,146
2035,/data/mskim/2_55_experiment/datasets/custum/벤츠#A-클래스_W177(2019)/C-220717_16_CR15_02_A0849.jpg,벤츠#A-클래스_W177(2019),153
2625,/data/mskim/2_55_experiment/datasets/custum/시내버스#Unknown/C-220717_18_CR15_02_A1094.jpg,시내버스#Unknown,219
2368,/data/mskim/2_55_experiment/datasets/custum/볼보#XC60_2세대(2017)/C-220713_12_CR14_03_A1841.jpg,볼보#XC60_2세대(2017),184
3260,/data/mskim/2_55_experiment/datasets/custum/현대#그랜저_IG(2016)/C-220715_14_CR14_03_A000727.jpg,현대#그랜저_IG(2016),308
4661,/data/mskim/2_55_experiment/datasets/custum/현대#제네시스_GV70(2021)/C-220712_18_CR14_03_A0633.jpg,현대#제네시스_GV70(2021),358
2481,/data/mskim/2_55_experiment/datasets/custum/쉐보레#스파크_더 뉴(2018)/C-220714_13_CR14_03_A0544.jpg,쉐보레#스파크_더 뉴(2018),197
2268,/data/mskim/2_55_experiment/datasets/custum/벤츠#GLS-클래스_X167(2020)/C-220715_20_CR13_01_A000508.jpg,벤츠#GLS-클래스_X167(2020),171
4963,/data/mskim/2_55_experiment/datasets/custum/현대#포터/C-220711_11_CR13_01_A0052.jpg,현대#포터,373
2298,/data/mskim/2_55_experiment/datasets/custum/벤츠#S-클래스_W222(2013)/C-220715_20_CR15_02_A000296.jpg,벤츠#S-클래스_W222(2013),174
2018,/data/mskim/2_55_experiment/datasets/custum/미니#쿠퍼_클럽맨(2007)/C-220714_18_CR15_02_A0977.jpg,미니#쿠퍼_클럽맨(2007),151
743,/data/mskim/2_55_experiment/datasets/custum/기아#레이_더 뉴(2017)/C-220713_13_CR14_03_A0046.jpg,기아#레이_더 뉴(2017),54
2304,/data/mskim/2_55_experiment/datasets/custum/벤츠#S-클래스_W223(2021)/C-220715_12_CR13_01_A000694.jpg,벤츠#S-클래스_W223(2021),175
3170,/data/mskim/2_55_experiment/datasets/custum/현대#그랜저_HG(2013)/C-220715_09_CR13_01_A001909.jpg,현대#그랜저_HG(2013),307
2458,/data/mskim/2_55_experiment/datasets/custum/쉐보레#스파크_더 넥스트(2015)/C-220713_18_CR13_01_A1796.jpg,쉐보레#스파크_더 넥스트(2015),196
3626,/data/mskim/2_55_experiment/datasets/custum/현대#스타렉스_그랜드 (2007)/C-220716_13_CR15_02_A000676.jpg,현대#스타렉스_그랜드 (2007),320
2534,/data/mskim/2_55_experiment/datasets/custum/쉐보레#올란도_올란도(2011)/C-220712_16_CR14_03_A0319.jpg,쉐보레#올란도_올란도(2011),203
3278,/data/mskim/2_55_experiment/datasets/custum/현대#그랜저_IG(2016)/C-220714_11_CR13_01_A0487.jpg,현대#그랜저_IG(2016),308
3818,/data/mskim/2_55_experiment/datasets/custum/현대#싼타페_TM(2018)/C-220713_18_CR13_01_A0789.jpg,현대#싼타페_TM(2018),327
2677,/data/mskim/2_55_experiment/datasets/custum/쌍용#렉스턴_올 뉴(2020)/C-220717_12_CR15_02_A0307.jpg,쌍용#렉스턴_올 뉴(2020),228
1654,/data/mskim/2_55_experiment/datasets/custum/렉서스#ES_뉴 제너레이션 (2018)/C-220711_13_CR13_01_A0273.jpg,렉서스#ES_뉴 제너레이션 (2018),119
3855,/data/mskim/2_55_experiment/datasets/custum/현대#쏘나타_DN8(2019)/C-220714_18_CR13_01_A0258.jpg,현대#쏘나타_DN8(2019),331
2608,/data/mskim/2_55_experiment/datasets/custum/스쿠터#Unknown/C-220716_20_CR15_02_A000037.jpg,스쿠터#Unknown,218
4047,/data/mskim/2_55_experiment/datasets/custum/현대#쏘나타_YF(2009)/C-220714_17_CR13_01_A0152.jpg,현대#쏘나타_YF(2009),334
2786,/data/mskim/2_55_experiment/datasets/custum/아우디#A5_A5(2007)/C-220717_19_CR15_02_A0150.jpg,아우디#A5_A5(2007),247
1703,/data/mskim/2_55_experiment/datasets/custum/렉서스#NX_NX(2014)/C-220713_19_CR13_01_A0904.jpg,렉서스#NX_NX(2014),124
1483,/data/mskim/2_55_experiment/datasets/custum/기아#카렌스_뉴(2006)/C-220712_16_CR13_01_A0243.jpg,기아#카렌스_뉴(2006),90
292,/data/mskim/2_55_experiment/datasets/custum/Unknown#Unknown/C-220715_10_CR15_02_A000396.jpg,Unknown#Unknown,28
285,/data/mskim/2_55_experiment/datasets/custum/Unknown#Unknown/C-220715_10_CR15_02_A000833.jpg,Unknown#Unknown,28
772,/data/mskim/2_55_experiment/datasets/custum/기아#레이_레이(2011)/C-220713_18_CR13_01_A1605.jpg,기아#레이_레이(2011),55
1612,/data/mskim/2_55_experiment/datasets/custum/랜드로버#레인지로버_4세대(2013)/C-220715_10_CR15_02_A001173.jpg,랜드로버#레인지로버_4세대(2013),115
3959,/data/mskim/2_55_experiment/datasets/custum/현대#쏘나타_LF(2014)/C-220716_12_CR13_01_A000506.jpg,현대#쏘나타_LF(2014),332
1248,/data/mskim/2_55_experiment/datasets/custum/기아#쏘렌토_더 뉴(2017)/C-220714_07_CR13_01_A0229.jpg,기아#쏘렌토_더 뉴(2017),78
2673,/data/mskim/2_55_experiment/datasets/custum/쌍용#렉스턴_스포츠(2018)/C-220711_16_CR13_01_A0050.jpg,쌍용#렉스턴_스포츠(2018),227
3379,/data/mskim/2_55_experiment/datasets/custum/현대#그랜저_IG(더 뉴)(2016)/C-220713_19_CR13_01_A0252.jpg,현대#그랜저_IG(더 뉴)(2016),309
4367,/data/mskim/2_55_experiment/datasets/custum/현대#아이오닉_아이오닉 5(2021)/C-220716_07_CR14_03_A000009.jpg,현대#아이오닉_아이오닉 5(2021),344
934,/data/mskim/2_55_experiment/datasets/custum/기아#봉고 3/C-220711_15_CR13_01_A0237.jpg,기아#봉고 3,64
2870,/data/mskim/2_55_experiment/datasets/custum/인피니티#Q시리즈_Q30(2016)/C-220714_07_CR13_01_A0380.jpg,인피니티#Q시리즈_Q30(2016),263
4404,/data/mskim/2_55_experiment/datasets/custum/현대#에쿠스_에쿠스(신형)(2009)/C-220717_12_CR15_02_A0382.jpg,현대#에쿠스_에쿠스(신형)(2009),347
3954,/data/mskim/2_55_experiment/datasets/custum/현대#쏘나타_LF(2014)/C-220713_19_CR14_03_A1276.jpg,현대#쏘나타_LF(2014),332
3118,/data/mskim/2_55_experiment/datasets/custum/현대#그랜저_HG(2013)/C-220717_17_CR15_02_A1156.jpg,현대#그랜저_HG(2013),307
317,/data/mskim/2_55_experiment/datasets/custum/기아#EV6_EV6(2021)/C-220717_19_CR15_02_A0446.jpg,기아#EV6_EV6(2021),30
4928,/data/mskim/2_55_experiment/datasets/custum/현대#팰리세이드_펠리세이드(2018)/C-220713_18_CR13_01_A1689.jpg,현대#팰리세이드_펠리세이드(2018),372
3463,/data/mskim/2_55_experiment/datasets/custum/현대#그랜저_XG (2002)/C-220714_18_CR15_02_A1570.jpg,현대#그랜저_XG (2002),311
352,/data/mskim/2_55_experiment/datasets/custum/기아#K3_더 뉴 2세대 (2021)/C-220715_19_CR13_01_A010330.jpg,기아#K3_더 뉴 2세대 (2021),33
2472,/data/mskim/2_55_experiment/datasets/custum/쉐보레#스파크_더 뉴(2018)/C-220715_07_CR13_01_A000978.jpg,쉐보레#스파크_더 뉴(2018),197
1557,/data/mskim/2_55_experiment/datasets/custum/도요타#캠리_뉴(2012)/C-220715_19_CR15_02_A004358.jpg,도요타#캠리_뉴(2012),107
1154,/data/mskim/2_55_experiment/datasets/custum/기아#쏘렌토_4세대(2020)/C-220714_07_CR13_01_A0450.jpg,기아#쏘렌토_4세대(2020),74
2890,/data/mskim/2_55_experiment/datasets/custum/지프#체로키_그랜드(1993)/C-220712_18_CR13_01_A0549.jpg,지프#체로키_그랜드(1993),269
3402,/data/mskim/2_55_experiment/datasets/custum/현대#그랜저_IG(더 뉴)(2016)/C-220715_09_CR13_01_A005133.jpg,현대#그랜저_IG(더 뉴)(2016),309
3983,/data/mskim/2_55_experiment/datasets/custum/현대#쏘나타_NF(2004)/C-220714_05_CR13_01_A1683.jpg,현대#쏘나타_NF(2004),333
1437,/data/mskim/2_55_experiment/datasets/custum/기아#카니발_올 뉴(2014)/C-220715_10_CR13_01_A000637.jpg,기아#카니발_올 뉴(2014),89
5125,/data/mskim/2_55_experiment/datasets/custum/현대#포터/C-220715_16_CR14_03_A000979.jpg,현대#포터,373
4937,/data/mskim/2_55_experiment/datasets/custum/현대#팰리세이드_펠리세이드(2018)/C-220717_07_CR13_01_A1073.jpg,현대#팰리세이드_펠리세이드(2018),372
4516,/data/mskim/2_55_experiment/datasets/custum/현대#제네시스_G80 (RG3)(2020)/C-220712_15_CR13_01_A0243.jpg,현대#제네시스_G80 (RG3)(2020),353
367,/data/mskim/2_55_experiment/datasets/custum/기아#K3_올 뉴(2018)/C-220714_14_CR13_01_A0189.jpg,기아#K3_올 뉴(2018),34
4237,/data/mskim/2_55_experiment/datasets/custum/현대#아반테_CN7(2020)/C-220714_08_CR14_03_A0994.jpg,현대#아반테_CN7(2020),338
3669,/data/mskim/2_55_experiment/datasets/custum/현대#스타렉스_그랜드 더뉴(2017)/C-220714_08_CR15_02_A1420.jpg,현대#스타렉스_그랜드 더뉴(2017),321
3315,/data/mskim/2_55_experiment/datasets/custum/현대#그랜저_IG(더 뉴)(2016)/C-220712_18_CR13_01_A0352.jpg,현대#그랜저_IG(더 뉴)(2016),309
3457,/data/mskim/2_55_experiment/datasets/custum/현대#그랜저_TG(2005)/C-220714_08_CR14_03_A1290.jpg,현대#그랜저_TG(2005),310
4099,/data/mskim/2_55_experiment/datasets/custum/현대#쏘나타_뉴 라이즈(2017)/C-220715_12_CR15_02_A001183.jpg,현대#쏘나타_뉴 라이즈(2017),335
5151,/data/mskim/2_55_experiment/datasets/custum/혼다#어코드_올 뉴(2008)/C-220712_18_CR13_01_A0763.jpg,혼다#어코드_올 뉴(2008),379
3094,/data/mskim/2_55_experiment/datasets/custum/현대#i40_살룬(2011)/C-220716_07_CR13_01_A000396.jpg,현대#i40_살룬(2011),306
3367,/data/mskim/2_55_experiment/datasets/custum/현대#그랜저_IG(더 뉴)(2016)/C-220714_07_CR13_01_A0231.jpg,현대#그랜저_IG(더 뉴)(2016),309
5101,/data/mskim/2_55_experiment/datasets/custum/현대#포터/C-220715_20_CR15_02_A000676.jpg,현대#포터,373
1673,/data/mskim/2_55_experiment/datasets/custum/렉서스#ES_뉴(2012)/C-220715_19_CR14_03_A003493.jpg,렉서스#ES_뉴(2012),120
3931,/data/mskim/2_55_experiment/datasets/custum/현대#쏘나타_LF(2014)/C-220711_15_CR13_01_A0154.jpg,현대#쏘나타_LF(2014),332
3337,/data/mskim/2_55_experiment/datasets/custum/현대#그랜저_IG(더 뉴)(2016)/C-220717_15_CR15_02_A1388.jpg,현대#그랜저_IG(더 뉴)(2016),309
4460,/data/mskim/2_55_experiment/datasets/custum/현대#제네시스_G70(2017)/C-220711_14_CR13_01_A0142.jpg,현대#제네시스_G70(2017),352
3440,/data/mskim/2_55_experiment/datasets/custum/현대#그랜저_TG(2005)/C-220715_10_CR13_01_A000309.jpg,현대#그랜저_TG(2005),310
3352,/data/mskim/2_55_experiment/datasets/custum/현대#그랜저_IG(더 뉴)(2016)/C-220712_15_CR13_01_A0237.jpg,현대#그랜저_IG(더 뉴)(2016),309
1308,/data/mskim/2_55_experiment/datasets/custum/기아#쏘울_쏘울(2008)/C-220715_19_CR15_02_A053363.jpg,기아#쏘울_쏘울(2008),84
1315,/data/mskim/2_55_experiment/datasets/custum/기아#오피러스_오피러스(2003)/C-220715_19_CR13_01_A103869.jpg,기아#오피러스_오피러스(2003),85
3370,/data/mskim/2_55_experiment/datasets/custum/현대#그랜저_IG(더 뉴)(2016)/C-220716_07_CR13_01_A000646.jpg,현대#그랜저_IG(더 뉴)(2016),309
2551,/data/mskim/2_55_experiment/datasets/custum/쉐보레#크루즈_어메이징 뉴(2015)/C-220713_12_CR13_01_A0064.jpg,쉐보레#크루즈_어메이징 뉴(2015),208
2253,/data/mskim/2_55_experiment/datasets/custum/벤츠#GLE-클래스_W166(2016)/C-220715_13_CR14_03_A000979.jpg,벤츠#GLE-클래스_W166(2016),168
4615,/data/mskim/2_55_experiment/datasets/custum/현대#제네시스_G90(2018)/C-220712_18_CR13_01_A0278.jpg,현대#제네시스_G90(2018),356
253,/data/mskim/2_55_experiment/datasets/custum/BMW#X시리즈_X6 (G06)(2020)/C-220717_08_CR13_01_A0130.jpg,BMW#X시리즈_X6 (G06)(2020),26
399,/data/mskim/2_55_experiment/datasets/custum/기아#K5_2세대(2015)/C-220714_07_CR13_01_A0231.jpg,기아#K5_2세대(2015),36
1608,/data/mskim/2_55_experiment/datasets/custum/랜드로버#레인지로버_4세대(2013)/C-220714_08_CR14_03_A0570.jpg,랜드로버#레인지로버_4세대(2013),115
5073,/data/mskim/2_55_experiment/datasets/custum/현대#포터/C-220716_20_CR13_01_A000488.jpg,현대#포터,373
4832,/data/mskim/2_55_experiment/datasets/custum/현대#투싼_뉴 ix(2013)/C-220714_08_CR14_03_A0998.jpg,현대#투싼_뉴 ix(2013),369
162,/data/mskim/2_55_experiment/datasets/custum/BMW#7시리즈_G11(2015)/C-220717_12_CR15_02_A0388.jpg,BMW#7시리즈_G11(2015),14
951,/data/mskim/2_55_experiment/datasets/custum/기아#봉고 3/C-220714_07_CR15_02_A0285.jpg,기아#봉고 3,64
3512,/data/mskim/2_55_experiment/datasets/custum/현대#베뉴_베뉴(2019)/C-220717_10_CR15_02_A1794.jpg,현대#베뉴_베뉴(2019),316
4569,/data/mskim/2_55_experiment/datasets/custum/현대#제네시스_G80(2016)/C-220715_11_CR15_02_A000047.jpg,현대#제네시스_G80(2016),354
2722,/data/mskim/2_55_experiment/datasets/custum/쌍용#티볼리_베리 뉴(2019)/C-220711_10_CR13_01_A0150.jpg,쌍용#티볼리_베리 뉴(2019),240
530,/data/mskim/2_55_experiment/datasets/custum/기아#K5_더 뉴 2세대(2018)/C-220713_11_CR13_01_A0055.jpg,기아#K5_더 뉴 2세대(2018),39
1687,/data/mskim/2_55_experiment/datasets/custum/렉서스#LS_뉴(2013)/C-220715_12_CR13_01_A000498.jpg,렉서스#LS_뉴(2013),123
867,"/data/mskim/2_55_experiment/datasets/custum/기아#모닝_올 뉴,더 뉴(2011)/C-220715_10_CR13_01_A000697.jpg","기아#모닝_올 뉴,더 뉴(2011)",60
461,/data/mskim/2_55_experiment/datasets/custum/기아#K5_K5(2010)/C-220715_10_CR14_03_A000109.jpg,기아#K5_K5(2010),38
